@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:PBSRSGVE,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,BS 8723,,BS8723,DD8723,,,,,,,
iskouk:NBW3BBSM,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,Dublin Core,,DCMI,Dublin Core  Metadata Initiative,,,,,,,
iskouk:GZPB3JCI,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,FRBR,,,,,,,,,,
iskouk:PC6PQJKE,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,IEEE Standard for Learning Objects,,LOM,,,,,,,,
iskouk:JPQUM1MB,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,ISO 25964,,,,,,,,,,
iskouk:AW4TXN05,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,MARC,,,,,,,,,,
iskouk:X1CXLT9D,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,MoReq2,,,,,,,,,,
iskouk:ZLQ5SY38,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,OWL2,,Web Ontology Language,OWL,,,,,,,
iskouk:JTVKZ0LN,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,RDFS,,,,,,,,,,
iskouk:9DWO177V,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,SKOS,,Standard Knowledge Organization System,,,,,,,,
iskouk:INQNB7AQ,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,Search/Retrieve via URL,,SRU,,,,,,,,
iskouk:S0MQSJ0I,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,XML,,,,,,,,,,
iskouk:PU9QRADB,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge organization systems,,KOS,Retrieval languages,,,,,,,
iskouk:YYUZ6HPE,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Business classification schemes,,,,,,,,,,
iskouk:Z6UX1M59,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Catalogues,,Catalogs,,,,,,,,
iskouk:EQGIRIWH,skos:Concept,iskouk:subjects,,iskouk:Z6UX1M59,OPAC,,Online Public Access Catalogues,,,,,,,,
iskouk:KYMMW9O8,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Classification schemes,,,,,,,,,,
iskouk:1B28UD6Y,skos:Concept,iskouk:subjects,,iskouk:KYMMW9O8,Bliss Bibliographic Classification,,BC2,Bliss Classification,,,,,,,
iskouk:8CC6T7W5,skos:Concept,iskouk:subjects,,iskouk:KYMMW9O8,Colon Classification,,,,,,,,,,
iskouk:GUDBFJ2E,skos:Concept,iskouk:subjects,,iskouk:KYMMW9O8,Dewey Decimal System,,DDC,,,,,,,,
iskouk:9E5ZG1GT,skos:Concept,iskouk:subjects,,iskouk:KYMMW9O8,Library of Congress Classification,,LCC,,,,,,,,
